post_id,caption,sentiment_analysis
"1","young & alive - bazzi","0"
"2","Happy happy birthday mini chipmunk 😘💋 it’s been over seven years wifeyy and I am so so lucky to have you🥺 the best best... more","1"
"3","BLOOPER~1 ... more","0"
"4","BLOOPER~1
or a CANDID 🤔🤔 ❤ .
#THROWBACK","0"
"5","Just putting this here.... #nohomo .... more","1"
"6","This is my Entry for the #fromhometostage contest for @dubaiopera 😁... more","1"
"7","This is my Entry for the #fromhometostage contest for @dubaiopera 😁
Really honoured to be a part of this contest❣

I HAVE NOTHING - WHITNEY HOUSTON 🎶
The amount of emotions and chills this song has is literally indescribable. Gave it my best shot, hope y'all liked it 💖
Please follow, like, and share this video, and DM me or comment down suggestions for future uploads😅❣
Love, Suriya x 💕
@indian_mosiqi @indiasvoice @indias__talent @indian_awaaz.ig @indianjammers @crazyvoicess @voice_of_india_sa_re_ga_ma_pa_ @hotvocals @voiceera @indianraga @voiceviral @indiangayaki @crazygoodvoices.1 @wowmusicians #music #singer #songs #englishsongs #english #amazingsong #ihavenothing #whitneyhouston #evergreensong #awardwinning #topvocals #topvocalist #indiansingers #silentnight #singingtalentofindia #singingtalent #indiansingers #tamilsinger #favsong #songcover #instacover #singergirl #lovethissong #nationaltalent #indian_mosiqi #indiasvoice #indias__talent","1"
"8","i look like a 🍌","-1"
"9","🥺❤️","0"
"10","Living vicariously through throwbacks 💃🏻","1"
"11","Living vicariously through throwbacks 💃🏻","1"
"12","Just waiting on our brownies to bake😋... more","1"
"13","Wanted Dead or Alive • Solo Cover... more","0"
"14","“If cats could talk, they wouldn't""... more","0"
"15","Your next challenge (Thanks to @mojorojo) ! A lot of us thought with the extra time on our hands we should pick up an... more","1"
"16","Your next challenge (Thanks to @mojorojo) ! A lot of us thought with the extra time on our hands we should pick up an instrument. You don’t have one at home? That doesn’t mean you can’t create music!
So for your next #5StarDoNothingOutside challenge, create a piece of music using only household objects (glasses, spoons, buckets, plates, your grandma, rubber bands, combs, bells, coins, etc). Create the most creative, fun, unique music (it could be a cover of an exciting song as well) to win chocolates + 10,000 bucks worth of grocery vouchers.

Ps: People who make “we will rock you” thumping music will immediately be disqualified and automatically regarded as a disappointment to their family.","-1"
"17","Naya video upload kiya hai YouTube channel par, waqt ho toh dekhiyega!","0"
"18","Patio hangs with my guy🤍
It’s been in the 70’s here the last few days so we’ve been spending all of our time in the backyard getting some much needed vitamin D!☀️
I mentioned the other day that I made a LIKEtoKNOW.it account which is a great way to share all of my favorite products/outfits, etc since you guys have been asking for some time now! So if you’re interested, follow me on there❤️
http://liketk.it/2N9LS","1"
"19","made this mini series called “the story behind the story” where i explore the meaning behind several of the songs on my upcoming debut album .. first episode is out now .. link in bio .. 📖 .. @youtubemusic","1"
"20","Its a long distance relationship now","-1"
"21","“The flower that blooms in adversity is better than the one that fades at the first sign of a challenge” 🌿","1"
"22","foy v foy @renee_foy_","0"
"23","Seeing artwork inspired from your own work brings a different kinda joy, thanks for the love @lightcomix
Especially when it’s a project like Simple Ken which is so close to me. —————————————————————————— Chapter 27: Simple Ken
.
‼️Y'all should check out Kenny Sebastian's latest episode of his P̶o̶d̶c̶a̶s̶t̶ Long Recording of him talking, ft. Naveen (@simplekenpodcast )‼️
.
I have been listening to his episodes while drawing comics. It's super funny and I gotta say, it feels really therapeutic 😌😌
.
And honorable mention to who composed the intro jingle. It's catchy as heck🙌
.
@kennethseb @naveen.richard
#kennysebastian #naveenrichard #simpleken #podcast
#longrecordingofkennytalking
#comics #cartoon #illustration #webcomic #digitalcomic #funny #art #instaart #instaartist #artist #comicartist #digitalart #wacom #kennysebastianmemes #clipstudiopaint #comedy #artstudio #color #reading #lightcomix #people #comicartist #comicstrip #comicpanel","1"
"24","Circuit breaker has made me so bored i think about stupid shit all the time","-1"
"25","My location is mentioned above 😉
#200thpost","0"
"26","‘Mean Old Lion’ 🤭🦁
.
.
.
Jingle Rock ‘19
#WizardofOz#CowardlyLion#Scarecrow#Tinman#Dorothy","1"
"27","Shaadi waali coffee > Black Hole 😂😂
Comment your favourite scene from the latest episode. Full episode link in bio.
#AngryMasterji15 #Amp15 #bbkivines","1"
"28","~~ Wishful Thinking 💭Mindless Dreaming ✨~~","0"
"29","#islamic #islam #muslim #allah #islamicquotes #quran #sunnah #muslimah #ramadan #hijab #allahuakbar #dua #deen #jannah #makkah #ahmadjuneja #love #prayer #muhammad #hadith #instaislam #pray #hijabi #urdu #prophet #Allah #subhanallah #ummah #madina #bhfyp","0"
"30","Sorry about that Riz.","-1"
"31","back in my cell .. all by myself .. alone with my thoughts again ..","-1"
"32","""If you're going through hell, then just keep going. Why would you stop in hell?""- Steve Harvey","0"
"33","Do I miss going outside? A teeny-tiny bit 🙂.
.
.
.
#craving4fingers #cravingmala #missmeetingy'll","-1"
"34","I worked on my special in India for a year and a half and decided the best way to make the material the strongest was to go around the world and do as many shows as possible. I took some videos while all that was happening and I’m cutting that together now.
Btw the special in question is releasing April 24th on Netflix.
The whole video will be out when I can finish editing it. Pls enjoy your life. GN & SD & TC

The silly voice you can hear in the video belongs to @aboswal","1"
"35","The fish didn’t want my bread #tb","-1"
"36","On a lighter note,
~
~
~
~
~
That is a BALLOON beside him 🤷‍♀️","0"
"37","NYC’s got some scenic spots;
if only the wind would take a break so I could’ve gotten my face in some of the already few shots.","-1"
"38","New episode ‘Angry Masterji- Part 15’ is OUT on my YouTube channel. This one’s for all the students. Dekho!😅😂
#AngryMasterji15 #AMP15 #bbkivines","1"
"39","“She wore flowers in her hair and carried magic secrets in her eyes” - Arundhati Roy 🌺","0"
"40","Saavdhan rahe satark rahe","0"
"41","Part-2🙃😝","0"
"42","Wearing Centuries Worth of Traditions💐","1"
"43","E M I N E M 🔥
Just a 20 minute sketch of the G.O.A.T himself 🐐
This lock down thing has got me crazy and I’m getting realllyyyy bored 😐
Hope they don’t extend it... 🙃
Regardless, be socially responsible and take care of yourselves and this around you ♥️🦠
Peace ☮️
#shawartma
.
.
.

#eminem #eminemfan #eminemquotes #eminemfans #eminemshow #eminemlyrics #eminemforever #eminemfanpage #eminemedits #eminemstan #eminem4ever #eminem_king #eminemmemes #eminemvideos #eminemfanart #pensketching #roughsketches #quarantinesketch #musictobemurderedby #adhd","-1"
"44","ज़िंदगी WORTH हैं, व्यर्थ नहीं।","0"
"45","Percussive Fingerstyle Cover - Masakali (Mohit Chauhan & AR Rahman)
Hey everyone ! Here’s a super quick arrangement of this song . Let me know your views on this one . If you enjoyed listening to this, don’t forget to like , share (through shoutouts on your stories) and comment! Tag @arrahman in the comments section !!!
Technical support - @saiprasanna__ .
.
.
#percussiveguitar #masakali #masakalicover #thatfingerstyleguitarist #percussivefingerstyle","1"
"46","Myla is a whole mood during quarantine😄#quarantineanthem","0"
"47","E Pluribus Anus ♥️ Community is the best series and definitely binge-worthy. I’m just surprised I didn’t watch it before 💯
Each and every character is amazing and funny and have the best character development I’ve seen ♥️
So let’s all thank Netflix for brightening our dull lives with Community 😂♥️
Till next time 🤗
#shawartma
.
.
.
#community #communitytvshow #communitytvseries #communitymemes #communityedits #sixseasonsandamovie #communityonnetflix #communityfanart #netflix #bingewatching #chevychase #yvettenicolebrown #dannypudi #childishgambino #donaldglover #alisonbrie #brittaperry #kenjeong #penart #pensketching #crosshatching #DarkestTimeline #joelmchale #instagramartist #artistsofinstagram #nbccommunity #andamovie #gillianjacobs #troyandabedinthemorning","1"
"48","High into the blue sky.
-
-
#hellofrom Malaysia","1"
"49","I know it's Tuesday because I'm still wearing my Sunday pajamas. I ALSO know a way to get an exclusive sneak peek at PERRY MASON. All my love, DSB (double-scrub Bob) #PerryMasonHBO @hbo","1"
"50","🍉","0"
